Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
9/12/2010 0:01,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,33.48918427,-118.5600583
9/12/2010 0:08,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,33.46398376,-118.4666745
9/12/2010 0:27,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,33.43877593,-118.3842771
9/12/2010 0:28,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,33.43877593,-118.3842771
9/12/2010 0:29,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,33.43877593,-118.3842771
9/12/2010 0:30,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,33.43877593,-118.3842771
9/12/2010 2:43,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,33.99392846,-118.7468259
9/12/2010 2:46,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,34.01669723,-118.6726682
9/12/2010 2:56,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,34.00759046,-118.5518186
9/12/2010 2:58,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,34.0030367,-118.5243528
9/12/2010 2:59,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,33.98573019,-118.4935912
9/12/2010 3:03,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,33.42960763,-118.6067502
9/12/2010 3:07,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,33.41585336,-118.5737912
9/12/2010 3:08,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,33.40668263,-118.5353391
9/12/2010 3:12,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,33.39980396,-118.4996335
9/12/2010 3:14,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,33.36999006,-118.4913938
9/12/2010 3:17,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,33.34246047,-118.4941404
9/12/2010 3:27,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,33.30574081,-118.4804075
9/12/2010 3:28,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,33.30574081,-118.3952634
9/12/2010 4:16,VR2W-110771,A69-1303-46863,,,,,JWS_Will_Rogers1,33.34704934,-117.5712888
9/12/2010 4:19,VR2W-110771,A69-1303-46863,,,,,JWS_Will_Rogers1,33.31721736,-117.5163572
9/12/2010 4:20,VR2W-110771,A69-1303-46863,,,,,JWS_Will_Rogers1,33.27589469,-117.4833982
9/12/2010 4:23,VR2W-110771,A69-1303-46863,,,,,JWS_Will_Rogers1,33.23684976,-117.4559324
9/12/2010 4:25,VR2W-110771,A69-1303-46863,,,,,JWS_Will_Rogers1,33.19778738,-117.4174802
9/12/2010 5:04,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,33.39980396,-118.115112
9/12/2010 6:04,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,33.71337395,-118.4227292
9/12/2010 6:06,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,33.69737974,-118.3595578
9/12/2010 6:09,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,33.68366805,-118.2908933
